category,title,content
products,Is Rice available in stock?,"Yes, Rice is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Rice?,You can find Rice listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Mchele, mnayo?","Ndiyo, Mchele (Rice) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Rice?,"The price of Rice depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mchele ni kiasi gani?,"Bei ya Mchele inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Rice for bulk orders?,Bulk pricing on Rice may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Maize flour available in stock?,"Yes, Maize flour is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Maize flour?,You can find Maize flour listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Unga wa mahindi, mnayo?","Ndiyo, Unga wa mahindi (Maize flour) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Maize flour?,"The price of Maize flour depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Unga wa mahindi ni kiasi gani?,"Bei ya Unga wa mahindi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Maize flour for bulk orders?,Bulk pricing on Maize flour may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Wheat flour available in stock?,"Yes, Wheat flour is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Wheat flour?,You can find Wheat flour listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Unga wa ngano, mnayo?","Ndiyo, Unga wa ngano (Wheat flour) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Wheat flour?,"The price of Wheat flour depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Unga wa ngano ni kiasi gani?,"Bei ya Unga wa ngano inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Wheat flour for bulk orders?,Bulk pricing on Wheat flour may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Cooking oil available in stock?,"Yes, Cooking oil is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Cooking oil?,You can find Cooking oil listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Mafuta ya kupikia, mnayo?","Ndiyo, Mafuta ya kupikia (Cooking oil) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Cooking oil?,"The price of Cooking oil depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mafuta ya kupikia ni kiasi gani?,"Bei ya Mafuta ya kupikia inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Cooking oil for bulk orders?,Bulk pricing on Cooking oil may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Sugar available in stock?,"Yes, Sugar is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Sugar?,You can find Sugar listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Sukari, mnayo?","Ndiyo, Sukari (Sugar) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Sugar?,"The price of Sugar depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Sukari ni kiasi gani?,"Bei ya Sukari inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Sugar for bulk orders?,Bulk pricing on Sugar may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Salt available in stock?,"Yes, Salt is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Salt?,You can find Salt listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Chumvi, mnayo?","Ndiyo, Chumvi (Salt) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Salt?,"The price of Salt depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Chumvi ni kiasi gani?,"Bei ya Chumvi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Salt for bulk orders?,Bulk pricing on Salt may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Beans available in stock?,"Yes, Beans is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Beans?,You can find Beans listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Maharage, mnayo?","Ndiyo, Maharage (Beans) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Beans?,"The price of Beans depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Maharage ni kiasi gani?,"Bei ya Maharage inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Beans for bulk orders?,Bulk pricing on Beans may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Lentils available in stock?,"Yes, Lentils is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Lentils?,You can find Lentils listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Dengu, mnayo?","Ndiyo, Dengu (Lentils) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Lentils?,"The price of Lentils depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Dengu ni kiasi gani?,"Bei ya Dengu inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Lentils for bulk orders?,Bulk pricing on Lentils may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Spaghetti available in stock?,"Yes, Spaghetti is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Spaghetti?,You can find Spaghetti listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Spaghetti, mnayo?","Ndiyo, Spaghetti (Spaghetti) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Spaghetti?,"The price of Spaghetti depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Spaghetti ni kiasi gani?,"Bei ya Spaghetti inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Spaghetti for bulk orders?,Bulk pricing on Spaghetti may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Macaroni available in stock?,"Yes, Macaroni is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Macaroni?,You can find Macaroni listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Macaroni, mnayo?","Ndiyo, Macaroni (Macaroni) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Macaroni?,"The price of Macaroni depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Macaroni ni kiasi gani?,"Bei ya Macaroni inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Macaroni for bulk orders?,Bulk pricing on Macaroni may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Tea available in stock?,"Yes, Tea is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Tea?,You can find Tea listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Chai, mnayo?","Ndiyo, Chai (Tea) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Tea?,"The price of Tea depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Chai ni kiasi gani?,"Bei ya Chai inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Tea for bulk orders?,Bulk pricing on Tea may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Coffee available in stock?,"Yes, Coffee is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Coffee?,You can find Coffee listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Kahawa, mnayo?","Ndiyo, Kahawa (Coffee) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Coffee?,"The price of Coffee depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Kahawa ni kiasi gani?,"Bei ya Kahawa inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Coffee for bulk orders?,Bulk pricing on Coffee may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Milk available in stock?,"Yes, Milk is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Milk?,You can find Milk listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Maziwa, mnayo?","Ndiyo, Maziwa (Milk) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Milk?,"The price of Milk depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Maziwa ni kiasi gani?,"Bei ya Maziwa inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Milk for bulk orders?,Bulk pricing on Milk may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Powdered milk available in stock?,"Yes, Powdered milk is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Powdered milk?,You can find Powdered milk listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Maziwa ya unga, mnayo?","Ndiyo, Maziwa ya unga (Powdered milk) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Powdered milk?,"The price of Powdered milk depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Maziwa ya unga ni kiasi gani?,"Bei ya Maziwa ya unga inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
