category,product_english,product_swahili,question,answer
Food and Groceries,Rice,Mchele,What is Rice?,Rice (Mchele) is available under the Food and Groceries category.
Food and Groceries,Rice,Mchele,Do you have Rice?,"Yes, Rice (Mchele) can be searched in the Food and Groceries category."
Food and Groceries,Rice,Mchele,Nahitaji Mchele.,"Ndiyo, Mchele (Rice) ipo kwenye category ya Food and Groceries."
Food and Groceries,Rice,Mchele,Bei ya Mchele ni kiasi gani?,"Bei ya Mchele inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Rice,Mchele,Can you recommend Rice?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Rice.
Food and Groceries,Rice,Mchele,Where can I find Rice?,You can find Rice under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Maize flour,Unga wa mahindi,What is Maize flour?,Maize flour (Unga wa mahindi) is available under the Food and Groceries category.
Food and Groceries,Maize flour,Unga wa mahindi,Do you have Maize flour?,"Yes, Maize flour (Unga wa mahindi) can be searched in the Food and Groceries category."
Food and Groceries,Maize flour,Unga wa mahindi,Nahitaji Unga wa mahindi.,"Ndiyo, Unga wa mahindi (Maize flour) ipo kwenye category ya Food and Groceries."
Food and Groceries,Maize flour,Unga wa mahindi,Bei ya Unga wa mahindi ni kiasi gani?,"Bei ya Unga wa mahindi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Maize flour,Unga wa mahindi,Can you recommend Maize flour?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Maize flour.
Food and Groceries,Maize flour,Unga wa mahindi,Where can I find Maize flour?,You can find Maize flour under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Wheat flour,Unga wa ngano,What is Wheat flour?,Wheat flour (Unga wa ngano) is available under the Food and Groceries category.
Food and Groceries,Wheat flour,Unga wa ngano,Do you have Wheat flour?,"Yes, Wheat flour (Unga wa ngano) can be searched in the Food and Groceries category."
Food and Groceries,Wheat flour,Unga wa ngano,Nahitaji Unga wa ngano.,"Ndiyo, Unga wa ngano (Wheat flour) ipo kwenye category ya Food and Groceries."
Food and Groceries,Wheat flour,Unga wa ngano,Bei ya Unga wa ngano ni kiasi gani?,"Bei ya Unga wa ngano inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Wheat flour,Unga wa ngano,Can you recommend Wheat flour?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Wheat flour.
Food and Groceries,Wheat flour,Unga wa ngano,Where can I find Wheat flour?,You can find Wheat flour under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Cooking oil,Mafuta ya kupikia,What is Cooking oil?,Cooking oil (Mafuta ya kupikia) is available under the Food and Groceries category.
Food and Groceries,Cooking oil,Mafuta ya kupikia,Do you have Cooking oil?,"Yes, Cooking oil (Mafuta ya kupikia) can be searched in the Food and Groceries category."
Food and Groceries,Cooking oil,Mafuta ya kupikia,Nahitaji Mafuta ya kupikia.,"Ndiyo, Mafuta ya kupikia (Cooking oil) ipo kwenye category ya Food and Groceries."
Food and Groceries,Cooking oil,Mafuta ya kupikia,Bei ya Mafuta ya kupikia ni kiasi gani?,"Bei ya Mafuta ya kupikia inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Cooking oil,Mafuta ya kupikia,Can you recommend Cooking oil?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Cooking oil.
Food and Groceries,Cooking oil,Mafuta ya kupikia,Where can I find Cooking oil?,You can find Cooking oil under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Sugar,Sukari,What is Sugar?,Sugar (Sukari) is available under the Food and Groceries category.
Food and Groceries,Sugar,Sukari,Do you have Sugar?,"Yes, Sugar (Sukari) can be searched in the Food and Groceries category."
Food and Groceries,Sugar,Sukari,Nahitaji Sukari.,"Ndiyo, Sukari (Sugar) ipo kwenye category ya Food and Groceries."
Food and Groceries,Sugar,Sukari,Bei ya Sukari ni kiasi gani?,"Bei ya Sukari inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Sugar,Sukari,Can you recommend Sugar?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Sugar.
Food and Groceries,Sugar,Sukari,Where can I find Sugar?,You can find Sugar under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Salt,Chumvi,What is Salt?,Salt (Chumvi) is available under the Food and Groceries category.
Food and Groceries,Salt,Chumvi,Do you have Salt?,"Yes, Salt (Chumvi) can be searched in the Food and Groceries category."
Food and Groceries,Salt,Chumvi,Nahitaji Chumvi.,"Ndiyo, Chumvi (Salt) ipo kwenye category ya Food and Groceries."
Food and Groceries,Salt,Chumvi,Bei ya Chumvi ni kiasi gani?,"Bei ya Chumvi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Salt,Chumvi,Can you recommend Salt?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Salt.
Food and Groceries,Salt,Chumvi,Where can I find Salt?,You can find Salt under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Beans,Maharage,What is Beans?,Beans (Maharage) is available under the Food and Groceries category.
Food and Groceries,Beans,Maharage,Do you have Beans?,"Yes, Beans (Maharage) can be searched in the Food and Groceries category."
Food and Groceries,Beans,Maharage,Nahitaji Maharage.,"Ndiyo, Maharage (Beans) ipo kwenye category ya Food and Groceries."
Food and Groceries,Beans,Maharage,Bei ya Maharage ni kiasi gani?,"Bei ya Maharage inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Beans,Maharage,Can you recommend Beans?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Beans.
Food and Groceries,Beans,Maharage,Where can I find Beans?,You can find Beans under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Lentils,Dengu,What is Lentils?,Lentils (Dengu) is available under the Food and Groceries category.
Food and Groceries,Lentils,Dengu,Do you have Lentils?,"Yes, Lentils (Dengu) can be searched in the Food and Groceries category."
Food and Groceries,Lentils,Dengu,Nahitaji Dengu.,"Ndiyo, Dengu (Lentils) ipo kwenye category ya Food and Groceries."
Food and Groceries,Lentils,Dengu,Bei ya Dengu ni kiasi gani?,"Bei ya Dengu inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Lentils,Dengu,Can you recommend Lentils?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Lentils.
Food and Groceries,Lentils,Dengu,Where can I find Lentils?,You can find Lentils under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Spaghetti,Spaghetti,What is Spaghetti?,Spaghetti (Spaghetti) is available under the Food and Groceries category.
Food and Groceries,Spaghetti,Spaghetti,Do you have Spaghetti?,"Yes, Spaghetti (Spaghetti) can be searched in the Food and Groceries category."
Food and Groceries,Spaghetti,Spaghetti,Nahitaji Spaghetti.,"Ndiyo, Spaghetti (Spaghetti) ipo kwenye category ya Food and Groceries."
Food and Groceries,Spaghetti,Spaghetti,Bei ya Spaghetti ni kiasi gani?,"Bei ya Spaghetti inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Spaghetti,Spaghetti,Can you recommend Spaghetti?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Spaghetti.
Food and Groceries,Spaghetti,Spaghetti,Where can I find Spaghetti?,You can find Spaghetti under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Macaroni,Macaroni,What is Macaroni?,Macaroni (Macaroni) is available under the Food and Groceries category.
Food and Groceries,Macaroni,Macaroni,Do you have Macaroni?,"Yes, Macaroni (Macaroni) can be searched in the Food and Groceries category."
Food and Groceries,Macaroni,Macaroni,Nahitaji Macaroni.,"Ndiyo, Macaroni (Macaroni) ipo kwenye category ya Food and Groceries."
Food and Groceries,Macaroni,Macaroni,Bei ya Macaroni ni kiasi gani?,"Bei ya Macaroni inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Macaroni,Macaroni,Can you recommend Macaroni?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Macaroni.
Food and Groceries,Macaroni,Macaroni,Where can I find Macaroni?,You can find Macaroni under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Tea,Chai,What is Tea?,Tea (Chai) is available under the Food and Groceries category.
Food and Groceries,Tea,Chai,Do you have Tea?,"Yes, Tea (Chai) can be searched in the Food and Groceries category."
Food and Groceries,Tea,Chai,Nahitaji Chai.,"Ndiyo, Chai (Tea) ipo kwenye category ya Food and Groceries."
Food and Groceries,Tea,Chai,Bei ya Chai ni kiasi gani?,"Bei ya Chai inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Tea,Chai,Can you recommend Tea?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Tea.
Food and Groceries,Tea,Chai,Where can I find Tea?,You can find Tea under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Coffee,Kahawa,What is Coffee?,Coffee (Kahawa) is available under the Food and Groceries category.
Food and Groceries,Coffee,Kahawa,Do you have Coffee?,"Yes, Coffee (Kahawa) can be searched in the Food and Groceries category."
Food and Groceries,Coffee,Kahawa,Nahitaji Kahawa.,"Ndiyo, Kahawa (Coffee) ipo kwenye category ya Food and Groceries."
Food and Groceries,Coffee,Kahawa,Bei ya Kahawa ni kiasi gani?,"Bei ya Kahawa inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Coffee,Kahawa,Can you recommend Coffee?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Coffee.
Food and Groceries,Coffee,Kahawa,Where can I find Coffee?,You can find Coffee under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Milk,Maziwa,What is Milk?,Milk (Maziwa) is available under the Food and Groceries category.
Food and Groceries,Milk,Maziwa,Do you have Milk?,"Yes, Milk (Maziwa) can be searched in the Food and Groceries category."
Food and Groceries,Milk,Maziwa,Nahitaji Maziwa.,"Ndiyo, Maziwa (Milk) ipo kwenye category ya Food and Groceries."
Food and Groceries,Milk,Maziwa,Bei ya Maziwa ni kiasi gani?,"Bei ya Maziwa inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Milk,Maziwa,Can you recommend Milk?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Milk.
Food and Groceries,Milk,Maziwa,Where can I find Milk?,You can find Milk under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Powdered milk,Maziwa ya unga,What is Powdered milk?,Powdered milk (Maziwa ya unga) is available under the Food and Groceries category.
Food and Groceries,Powdered milk,Maziwa ya unga,Do you have Powdered milk?,"Yes, Powdered milk (Maziwa ya unga) can be searched in the Food and Groceries category."
Food and Groceries,Powdered milk,Maziwa ya unga,Nahitaji Maziwa ya unga.,"Ndiyo, Maziwa ya unga (Powdered milk) ipo kwenye category ya Food and Groceries."
Food and Groceries,Powdered milk,Maziwa ya unga,Bei ya Maziwa ya unga ni kiasi gani?,"Bei ya Maziwa ya unga inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Powdered milk,Maziwa ya unga,Can you recommend Powdered milk?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Powdered milk.
Food and Groceries,Powdered milk,Maziwa ya unga,Where can I find Powdered milk?,You can find Powdered milk under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Eggs,Mayai,What is Eggs?,Eggs (Mayai) is available under the Food and Groceries category.
Food and Groceries,Eggs,Mayai,Do you have Eggs?,"Yes, Eggs (Mayai) can be searched in the Food and Groceries category."
Food and Groceries,Eggs,Mayai,Nahitaji Mayai.,"Ndiyo, Mayai (Eggs) ipo kwenye category ya Food and Groceries."
Food and Groceries,Eggs,Mayai,Bei ya Mayai ni kiasi gani?,"Bei ya Mayai inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Eggs,Mayai,Can you recommend Eggs?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Eggs.
Food and Groceries,Eggs,Mayai,Where can I find Eggs?,You can find Eggs under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Bread,Mkate,What is Bread?,Bread (Mkate) is available under the Food and Groceries category.
Food and Groceries,Bread,Mkate,Do you have Bread?,"Yes, Bread (Mkate) can be searched in the Food and Groceries category."
Food and Groceries,Bread,Mkate,Nahitaji Mkate.,"Ndiyo, Mkate (Bread) ipo kwenye category ya Food and Groceries."
Food and Groceries,Bread,Mkate,Bei ya Mkate ni kiasi gani?,"Bei ya Mkate inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Bread,Mkate,Can you recommend Bread?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Bread.
Food and Groceries,Bread,Mkate,Where can I find Bread?,You can find Bread under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Biscuits,Biskuti,What is Biscuits?,Biscuits (Biskuti) is available under the Food and Groceries category.
Food and Groceries,Biscuits,Biskuti,Do you have Biscuits?,"Yes, Biscuits (Biskuti) can be searched in the Food and Groceries category."
Food and Groceries,Biscuits,Biskuti,Nahitaji Biskuti.,"Ndiyo, Biskuti (Biscuits) ipo kwenye category ya Food and Groceries."
Food and Groceries,Biscuits,Biskuti,Bei ya Biskuti ni kiasi gani?,"Bei ya Biskuti inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Biscuits,Biskuti,Can you recommend Biscuits?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Biscuits.
Food and Groceries,Biscuits,Biskuti,Where can I find Biscuits?,You can find Biscuits under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Peanut butter,Siagi ya karanga,What is Peanut butter?,Peanut butter (Siagi ya karanga) is available under the Food and Groceries category.
Food and Groceries,Peanut butter,Siagi ya karanga,Do you have Peanut butter?,"Yes, Peanut butter (Siagi ya karanga) can be searched in the Food and Groceries category."
Food and Groceries,Peanut butter,Siagi ya karanga,Nahitaji Siagi ya karanga.,"Ndiyo, Siagi ya karanga (Peanut butter) ipo kwenye category ya Food and Groceries."
Food and Groceries,Peanut butter,Siagi ya karanga,Bei ya Siagi ya karanga ni kiasi gani?,"Bei ya Siagi ya karanga inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Peanut butter,Siagi ya karanga,Can you recommend Peanut butter?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Peanut butter.
Food and Groceries,Peanut butter,Siagi ya karanga,Where can I find Peanut butter?,You can find Peanut butter under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Margarine,Siagi ya kupaka,What is Margarine?,Margarine (Siagi ya kupaka) is available under the Food and Groceries category.
Food and Groceries,Margarine,Siagi ya kupaka,Do you have Margarine?,"Yes, Margarine (Siagi ya kupaka) can be searched in the Food and Groceries category."
Food and Groceries,Margarine,Siagi ya kupaka,Nahitaji Siagi ya kupaka.,"Ndiyo, Siagi ya kupaka (Margarine) ipo kwenye category ya Food and Groceries."
Food and Groceries,Margarine,Siagi ya kupaka,Bei ya Siagi ya kupaka ni kiasi gani?,"Bei ya Siagi ya kupaka inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Margarine,Siagi ya kupaka,Can you recommend Margarine?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Margarine.
Food and Groceries,Margarine,Siagi ya kupaka,Where can I find Margarine?,You can find Margarine under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Tomato sauce,Mchuzi wa nyanya,What is Tomato sauce?,Tomato sauce (Mchuzi wa nyanya) is available under the Food and Groceries category.
Food and Groceries,Tomato sauce,Mchuzi wa nyanya,Do you have Tomato sauce?,"Yes, Tomato sauce (Mchuzi wa nyanya) can be searched in the Food and Groceries category."
Food and Groceries,Tomato sauce,Mchuzi wa nyanya,Nahitaji Mchuzi wa nyanya.,"Ndiyo, Mchuzi wa nyanya (Tomato sauce) ipo kwenye category ya Food and Groceries."
Food and Groceries,Tomato sauce,Mchuzi wa nyanya,Bei ya Mchuzi wa nyanya ni kiasi gani?,"Bei ya Mchuzi wa nyanya inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Tomato sauce,Mchuzi wa nyanya,Can you recommend Tomato sauce?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Tomato sauce.
