customer,category,answers,language
How much does Phone charger cost?,Mobile Phones,"Phone charger costs TZS 13,000 per piece. We have it available and delivery takes about 5 days.",English
"Je, Mafuta ya kupikia lita 20 inapatikana Zanzibar?",Vyakula na Vinywaji,"Bei ya Mafuta ya kupikia lita 20 ni TZS 80,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Zanzibar ndani ya siku 1.",Kiswahili
Naomba mnithibitishie bei ya sasa ya Kreti la soda Azam.,Vyakula na Vinywaji,"Bei ya Kreti la soda Azam ni TZS 16,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Tanga ndani ya siku 5.",Kiswahili
Is Irrigation pipe (per meter) available in Mwanza?,Agriculture & Livestock,"Irrigation pipe (per meter) is available at TZS 4,000. Kindly note delivery to Mwanza takes 7 days.",English
What is the price of USB flash drive 32GB?,"Computers, IT & Office","Yes, USB flash drive 32GB is in stock. The price is TZS 17,000 and delivery to Mbeya takes 5 days.",English
Is there a discount if I buy 2 unit of Toyota Noah (used)?,Vehicles & Auto Parts,"The current price for 2 unit of Toyota Noah (used) is TZS 40,538,000. Delivery within 3 days is possible.",English
What is the price of English-Swahili dictionary?,"Books, Education & Stationery","Our price for English-Swahili dictionary is TZS 23,000, and we can deliver it to Tabora within 7 days.",English
How long will delivery of Geometry set to Dodoma take?,"Books, Education & Stationery","Our price for Geometry set is TZS 6,000, and we can deliver it to Dodoma within 4 days.",English
Is Denim jeans available in Dar es Salaam?,Clothing & Textiles,"Denim jeans costs TZS 43,000 per piece. We have it available and delivery takes about 3 days.",English
Is there a discount if I buy 10 bottle of Cough syrup?,Health & Pharmacy,"We currently sell Cough syrup at TZS 6,000. It's in stock and ready for delivery within 2 days.",English
"Nataka kununua Mfuko wa Airtel GB 20 wa mwezi, bei yake ni ngapi?",Mifuko ya Intaneti na Salio,"Mfuko wa Airtel GB 20 wa mwezi inauzwa TZS 32,000 kwa mfuko. Tunayo bidhaa hii na usafirishaji unachukua siku 2.",Kiswahili
"Je, mnauza Kioo cha pembeni? Kama ndiyo, bei yake ni ngapi?",Magari na Vipuri,"Bei yetu ya Kioo cha pembeni ni TZS 35,000, na tunaweza kuisafirisha hadi Zanzibar ndani ya siku 3.",Kiswahili
Can you confirm the current price of Fertilizer (UREA) 50kg?,Agriculture & Livestock,"We currently sell Fertilizer (UREA) 50kg at TZS 76,000. It's in stock and ready for delivery within 5 days.",English
